product_key,country,current_price_usd,siamese_fair_price_usd,lightgbm_fair_price_usd,combined_fair_price_usd,siamese_gap_usd,lightgbm_gap_usd,combined_gap_usd,siamese_action,lightgbm_action,combined_action,siamese_confidence,lightgbm_confidence,combined_confidence,model_action_agreement
sabrina 3 'warning label'||footwear||basketball shoes||phantom/ivory/rush coral/black||men|women,FI,141.6891,,223.5674,223.5674,,-81.8783,-81.8783,,raise_price,raise_price,,0.2941,0.2941,na
jordan flight||apparel||women's down jacket||ghost||women,FI,403.2891,373.3334,,373.3334,29.9557,,29.9557,lower_price,,lower_price,0.71,,0.71,na
ナイキ dri-fit クラブ||apparel||ストラクチャード スウッシュ キャップ||ワークブルー/ホワイト||men|women,JP,24.321,,62.5825,62.5825,,-38.2615,-38.2615,,raise_price,raise_price,,0.4969,0.4969,na
ナイキ dri-fit adv クラブ||apparel||ストラクチャード スウッシュ キャップ||ライトマゼンタ/ホワイト||men|women,JP,28.006,,62.5825,62.5825,,-34.5765,-34.5765,,raise_price,raise_price,,0.5398,0.5398,na
nike killshot 2||footwear||women's shoes||black/gum yellow/sail||men|women,SI,103.5391,,132.0049,132.0049,,-28.4658,-28.4658,,raise_price,raise_price,,0.6464,0.6464,na
ナイキ dri-fit adv ライズ||apparel||ストラクチャード スウッシュ フレックス キャップ||ブラック/アンスラサイト/ホワイト||men|women,JP,28.743,,58.1464,58.1464,,-29.4034,-29.4034,,raise_price,raise_price,,0.5993,0.5993,na
ナイキ dri-fit クラブ||apparel||アンストラクチャード フェザーライト キャップ||ホワイト/ブラック||men|women,JP,28.006,,57.0468,57.0468,,-29.0408,-29.0408,,raise_price,raise_price,,0.6035,0.6035,na
nike killshot 2||footwear||women's shoes||black/gum yellow/sail||men|women,FI,114.4391,,132.5145,132.5145,,-18.0754,-18.0754,,raise_price,raise_price,,0.8341,0.8341,na
jayson tatum celtics icon edition 2020||apparel||men's nike nba authentic jersey||clover||men,US,210.0,,170.8886,170.8886,,39.1114,39.1114,,lower_price,lower_price,,0.3764,0.3764,na
jordan brooklyn||apparel||women's therma-fit varsity jacket||team red/pale ivory/black||women,FI,190.7391,171.0932,,171.0932,19.6459,,19.6459,lower_price,,lower_price,0.7406,,0.7406,na
jordan flight club pro||apparel||unstructured flat bill hat||black/black||men|women,US,40.0,,77.6974,77.6974,,-37.6974,-37.6974,,raise_price,raise_price,,0.3855,0.3855,na
nike cortez leather||footwear||women's shoes||white/light bone/coconut milk/bronze||women,US,125.0,114.6493,96.0335,105.3414,10.3507,28.9665,19.6586,lower_price,lower_price,lower_price,0.9754,0.4938,0.7346,true
日本 リミテッド ロード||apparel||メンズ ナイキ バスケットボールジャージー||チリレッド/ブラック||men,JP,109.813,,81.2569,81.2569,,28.5561,28.5561,,lower_price,lower_price,,0.501,0.501,na
ジョーダン 1 レトロ mcs se||footwear||メンズ ベースボールスパイク||スターフィッシュ/ホワイト/ブラック||men,JP,176.88,,148.2611,148.2611,,28.6189,28.6189,,lower_price,lower_price,,0.4999,0.4999,na
nike sportswear tech fleece||apparel||big kids' joggers with reflective accents||black/black/black||boys,US,100.0,,71.3583,71.3583,,28.6417,28.6417,,lower_price,lower_price,,0.4995,0.4995,na
nike sportswear||apparel||women's tight cropped long-sleeve t-shirt||soft pearl||women,FI,54.4891,,83.1133,83.1133,,-28.6242,-28.6242,,raise_price,raise_price,,0.4998,0.4998,na
エア ジョーダン||apparel||ウィメンズ ニット カーディガン||アーキオブラウン||women,JP,147.4,,118.8558,118.8558,,28.5442,28.5442,,lower_price,lower_price,,0.5012,0.5012,na
philadelphia phillies authentic collection||apparel||men’s nike dri-fit mlb sleeveless pullover hoodie||red||men,US,65.0,,93.7103,93.7103,,-28.7103,-28.7103,,raise_price,raise_price,,0.4983,0.4983,na
